"","ID","Div","Measure","Value","Category","Question"
"172",25,"HUM","Materials","DUE TO CORONAVIRUS, THE LIBRARIES WERE NOT ACCESSIBLE","Resource not always digital","OB"
"176",26,"MSD","OA","I FEEL MONEY FOR THE OPEN ACCESS PUBLICATIONS FEES TO BE THE MAIN BARRIER.","Financial cost","OB"
"183",27,"SSD","OA","TO PUBLISH OPEN ACCESS LAW JOURNALS REQUIRE AUTHORS OR THEIR INSTITUTIONS TO PAY. I HAVE NO IDEA IF OXFORD OFFERS THIS FOR RESEARCH STUDENTS AND HAVE NEVER HEARD IT MENTIONED.","Financial cost","OB"
"190",28,"SSD","OA","HIGH CHARGES BY JOURNALS TO ALLOW FOR OPEN ACCESS PUBLICATION.","Financial cost","OB"
"197",29,"MPLS","OA","IT OFTEN COSTS EXTRA!","Financial cost","OB"
"204",30,"SSD","OA","ASSOCIATED COSTS.","Financial cost","OB"
"213",31,"SSD","Code","I THINK THERE ARE MIXED INCENTIVES FOR SHARING CODE. THERE ARE STRONG REPUTATIONAL INCENTIVES, BUT THE TIME AND TRAINING IT TAKES TO MAKE A DECENT REPOSITORY ARE DRAWBACKS.","Time investment","OB"
"218",32,"MPLS","OA","GENERALLY CONSIDERED OF LOWER QUALITY/POORER JOURNAL QUALITY WHICH NEGATIVELY IMPACTS CAREER PROSPECTS","Lower quality","OB"
"225",33,"MPLS","OA","FUNDS","Financial cost","OB"
"232",34,"MSD","OA","JOURNAL REQUIREMENTS/FEES FOR OPEN ACCESS","Financial cost","OB"
"239",35,"MPLS","OA","IT CAN BE VERY EXPENSIVE. THIS IS NOT A PROBLEM CURRENTLY AS OXFORD PROVIDES GENEROUS FUNDING FOR THIS, BUT I CAN SEE IT BECOMING A PROBLEM IN THE FUTURE.","Financial cost","OB"
"247",36,"MSD","Data","I AM UNABLE TO MAKE MUCH OF THE CLINICAL DATA I WORK WITH OPENLY AVAILABLE DUE TO PATIENT PRIVACY","Ethical concerns","OB"
"246",36,"MSD","OA","OPEN ACCESS JOURNALS ARE OFTEN PROHIBITIVELY EXPENSIVE","Financial cost","OB"
"252",36,"MSD","RegRep","REGISTERED REPORTS ARE VERY CHALLENGING TO USE FOR STUDIES WHICH INVOLVE NEUROLOGICAL POPULATIONS. WORKING WITH ACUTE STROKE DATA CREATES INHERENTLY MESSY DATA SETS WHICH ARE NOT WELL SUITED TO THE STRINGENT REGULATION IMPOSED BY THE REQUIRED REPORT FORMAT.","Impedes flexibility in protocols","OB"
"253",37,"MSD","OA","COST","Financial cost","OB"
"260",38,"MSD","OA","CAN BE QUITE EXPENSIVE.","Financial cost","OB"
"267",39,"MSD","OA","FINANCIAL, WITH RESEARCHERS BEING BURDENED WITH THE COST FOR MANY JOURNALS","Financial cost","OB"
"274",40,"HUM","OA","OPEN ACCESS PUBLISHING IS OFTEN EXPENSIVE","Financial cost","OB"
"281",41,"MPLS","OA","COST OF PUBLICATION ","Financial cost","OB"
"285",41,"MPLS","Preprint","PRE PRINT DOCUMENTS CAN BE NOT FIT FOR PURPOSE, PEER REVIEW EXISTS FOR A REASON","Lack of peer review","OB"
"288",42,"SSD","OA","THE OPEN ACCESS PUBLICATION PROCESS IS HUGELY EXPLOITATIVE, ESPECIALLY FOR EARLY CAREER RESEARCHERS. HAVING TO PAY LARGE SUMS OF MONEY TO GET PUBLISHED IN JOURNALS WHOSE REPUTATION RELIES ENTIRELY ON THE QUALITY OF THESE CONTRIBUTIONS AS WELL AS VOLUNTARY LABOUR FROM MORE ESTABLISHED RESEARCHERS IS NOT A PROCESS WHICH FOSTERS THE MOST RELEVANT RESEARCH, BUT THOSE WHO HAVE THE MONETARY AND INSTITUTIONAL NETWORKS TO NAVIGATE THIS PROCESS.","Financial cost","OB"
"297",43,"MSD","Code","I AM NOT YET AT THE STAGE IN MY RESERACH WHERE THE CODE IS READY FOR SHARING (SO HAVE NOT GONE THROUGH THE PROCESS AND AM NOT AWARE OF ANY DIFFICULTIES).","Not categorised","OB"
"296",43,"MSD","Data","I AM NOT YET AT THE STAGE IN MY RESERACH WHERE THE OUTPUT IS READY FOR DATA SHARING(SO HAVE NOT GONE THROUGH THE PROCESS AND AM NOT AWARE OF ANY DIFFICULTIES).","Not categorised","OB"
"295",43,"MSD","OA","I AM NOT YET AT THE STAGE IN MY RESERACH WHERE THE OTOUT IS READY FOR PUBLICATION (SO HAVE NOT GONE THROUGH THE PROCESS AND AM NOT AWARE OF ANY DIFFICULTIES).","Not categorised","OB"
"299",43,"MSD","Preprint","I AM NOT YET AT THE STAGE IN MY RESERACH WHERE THE OTOUT IS READY FOR PUBLICATION (SO HAVE NOT GONE THROUGH THE PROCESS AND AM NOT AWARE OF ANY DIFFICULTIES).","Not categorised","OB"
"302",44,"SSD","OA","EXPENSIVE","Financial cost","OB"
"309",45,"SSD","OA","FUNDING FOR APCS LIMITED TO ONLY A FEW JOURNALS. THIS PREVENTS OA PUBLICATION IN MOST JOURNALS.","Financial cost","OB"
"316",46,"MSD","OA","FINANCE FOR OPEN ACCESS PUBLICATION","Financial cost","OB"
"325",47,"MSD","Code","IT'S A LOT OF WORK TO GET CODE INTO DECENT SHAPE FOR PUBLICATION","Time investment","OB"
"324",47,"MSD","Data","IT'S NOT MY DATA TO SHARE - E.G. COMMERCIALLY PROVIDED DATA OF ROUTINELY COLLECTED MEDICAL RECORDS","Resource not owned","OB"
"323",47,"MSD","OA","IT COSTS MONEY","Financial cost","OB"
"330",48,"SSD","OA","COST","Financial cost","OB"
"337",49,"MSD","OA","FUNDING IS LIMITED, AND IS OFTEN BUDGETED ON AN ANNUAL BASIS SO PUBLICATION DATE OR SENIORITY OF AUTHORS HAVE AN UNDUE INFLUENCE ON WHETHER IT'S POSSIBLE TO PUBLISH OPEN ACCESS.","Financial cost","OB"
"342",49,"MSD","Prereg","MANY OPTIONS ARE DEPENDENT ON FUNDING WHICH IS TIED TO SPECIFIC FUNDERS.","Not categorised","OB"
"344",50,"MSD","OA","FUNDING","Financial cost","OB"
"351",51,"HUM","OA","THE COST OF OPEN ACCESS PUBLICATIONS IS SHUNTED OFF TO THE RESEARCHER FROM PUBLISHING COMPANIES.","Financial cost","OB"
"358",52,"MPLS","OA","FINANCIAL...  WHO WILL PAY?","Financial cost","OB"
"365",53,"MSD","OA","COST","Financial cost","OB"
"5",1,"HUM","Preprint","PUBLIC PREPRINTS MIGHT INTERFERE WITH BLIND PEER REVIEWING AS REVIEWERS WOULD BE MORE LIKELY TO KNOW WHOSE WORK THEY WERE REVIEWING","Interferes with blind peer reviewing","WD"
"9",2,"MPLS","Data","SENSITIVE DATA - E.G. LOCATION OF THREATENED SPECIES - SHOULD NOT BECOME WIDELY ACCESSIBLE","Ethical, safety, or security concerns","WD"
"152",3,"MPLS","OA","SHIFTING PUBLISHING COSTS TO AUTHORS, MAKING PUBLICATION VENUE DEPENDENT ON AVAILABLE FUNDING","Financial cost","WD"
"27",4,"MPLS","Prereg","IN ECOLOGY, MUCH DATA IS COLLECTED AND ANALYSED LATER IN CONTEXT OF EVOLVING UNDERSTANDING OF ECOLOGY. THE LONGITUDINAL AND POST-HOC ASPECT OF THIS RESEARCH ALREADY GENERATES AMPLE DISCUSSION ON THE RELATIVE MERITS OF STRICTLY PLANNED EXPERIMENTAL STRUCTURES; IT IS OF MY OPINION AND THAT OF SEVERAL LIKE-MINDED COLLEAGUES THAT PRE-REGISTERING PROTOCOLS CAN ONLY INTENSIFY THIS DEBATE TO THE DETRIMENT OF LOTS OF VALUABLE RESEARCH THAT CANNOT BE EASILY FORCED INTO A PRE-REGISTRATION FRAMEWORK.","Impedes flexibility in protocols","WD"
"31",5,"MPLS","Code","ASTRONOMERS AREN'T HAPPY WITH 'POOR QUALITY' CODE BEING DISTRIBUTED, NO REAL INCENTIVE TO DO IT.","Lowers quality","WD"
"33",5,"MPLS","Preprint","CAN MAKE PUBLICATION OF FULL PAPER AT LATER DATE MORE DIFFICULT.","Prevents or complicates formal publishing","WD"
"38",6,"MPLS","Code","SAME AS OPEN ACCESS PUBLICATION. RESTRICTING CODE IN SUCH SCENARIOS MAY HELP RESTRICT THE NUMBER OF PEOPLE ABLE TO REPLICATE HARMFUL RESULTS DUE TO COMPUTATIONAL CONSTRAINTS.","Ethical, safety, or security concerns","WD"
"372",6,"MPLS","Data","AN INCREASINGLY LARGE NUMBER OF POTENTIALLY HARMFUL APPLICATIONS OF AI WILL LIKELY BE MADE OPEN SOURCE WITHIN THE NEXT FEW YEARS E.G. HIGHLY ROBUST DEEPFAKES / GENERATIVE VIDEO MODELS.","No control over validity of reuse, misrepresentation, misuse","WD"
"391",6,"MPLS","Materials","AN INCREASINGLY LARGE NUMBER OF POTENTIALLY HARMFUL APPLICATIONS OF AI WILL LIKELY BE MADE OPEN SOURCE WITHIN THE NEXT FEW YEARS E.G. HIGHLY ROBUST DEEPFAKES / GENERATIVE VIDEO MODELS.","No control over validity of reuse, misrepresentation, misuse","WD"
"36",6,"MPLS","OA","AN INCREASINGLY LARGE NUMBER OF POTENTIALLY HARMFUL APPLICATIONS OF AI WILL LIKELY BE MADE OPEN SOURCE WITHIN THE NEXT FEW YEARS E.G. HIGHLY ROBUST DEEPFAKES / GENERATIVE VIDEO MODELS.","Financial cost","WD"
"40",6,"MPLS","Preprint","DOUBLE BLIND PEER REVIEW PROCESS IS COMPLETELY UNDERMINED BY PRE-PRINTS.","Interferes with blind peer reviewing","WD"
"45",7,"MPLS","Code","ACADEMICS ARE TOO PROTECTIVE OVER THEIR WORK","Not categorised","WD"
"44",7,"MPLS","Data","ACADEMICS ARE TOO PROTECTIVE OVER THEIR WORK","Not categorised","WD"
"46",7,"MPLS","Materials","ACADEMICS ARE TOO PROTECTIVE OVER THEIR WORK","Not categorised","WD"
"431",7,"MPLS","OA","JOURNALS PUT THE MONEY REQUIRED FOR PUBLICATION ON THE RESEARCHER","Financial cost","WD"
"47",7,"MPLS","Preprint","LACK OF PEER REVIEW","Misleading due to lack of peer review","WD"
"54",8,"MPLS","Preprint","MANUSCRIPT HAS NOT PASSED THE PEER-REVIEW PROCESS AND CAN BE VIEWED AS UNRELIABLE.","Misleading due to lack of peer review","WD"
"55",8,"MPLS","Prereg","METHODOLOGY/APPROACH IS OF COURSE IMPORTANT BUT RESULTS ARE ESSENTIAL TOO. SOMETIMES, PARTICULARLY IN THE APPLIED SCIENCES/ENGINEERING FIELD, WE DO CARE ABOUT THE RESULTS MORE THAN THE METHOD (AS LONG AS THE METHOD IS RIGOROUS). FOR EXAMPLE, IS THIS CHANGE BENEFICIAL OR DETRIMENTAL TO THE SYSTEM? SHOULD THE ENGINEER ADOPT THIS DESIGN PRACTICE?","Not categorised","WD"
"59",9,"MPLS","Code","I GUESS IF IT'S WIDESPREAD IT'S JUST IP/COMMERCIALISATION AT A LATER DATE - I'M NOT SURE HOW THAT WOULD WORK","Intellectual property concerns","WD"
"58",9,"MPLS","Data","I GUESS IF IT'S WIDESPREAD IT'S JUST IP/COMMERCIALISATION AT A LATER DATE - I'M NOT SURE HOW THAT WOULD WORK","Intellectual property concerns","WD"
"60",9,"MPLS","Materials","I GUESS IF IT'S WIDESPREAD IT'S JUST IP/COMMERCIALISATION AT A LATER DATE - I'M NOT SURE HOW THAT WOULD WORK","Intellectual property concerns","WD"
"571",9,"MPLS","OA","I GUESS IF IT'S WIDESPREAD IT'S JUST IP/COMMERCIALISATION AT A LATER DATE - I'M NOT SURE HOW THAT WOULD WORK","Intellectual property concerns","WD"
"642",10,"MPLS","OA","PUBLICATION COSTS PASSED ON TO RESEARCHER, UNIVERSITY, OR FUNDER","Financial cost","WD"
"711",11,"MPLS","OA","USUALLY HIGHER COSTS","Financial cost","WD"
"785",12,"MPLS","OA","OPEN ACCESS AUTHOR FEES","Financial cost","WD"
"89",13,"MPLS","Preprint","PREPRINTS ARE IMPROVED UPON FOR THE FINAL VERSION, AND MIGHT STILL CONTAIN ISSUES, ERRORS, OR MISLEADING STATEMENTS. HAVING THEM STILL AVAILABLE WITHOUT HIGHLIGHTING THOSE PROBLEMS WITH IT LEAD TO SOME READERS LOOKING AT IT TAKING BAD INFORMATION, OR IT COULD BE MISUSED.","Misleading due to lack of peer review","WD"
"921",14,"MPLS","OA","PEOPLE WHO WANT TO PUBLISH NEED TO PAY, HENCE IS COSTLY","Financial cost","WD"
"100",15,"MPLS","Data","SHARING DATA IN MEDICAL SCIENCE COULD BE TRICKY","Ethical, safety, or security concerns","WD"
"107",16,"MPLS","Data","MORE WORK","Time investment","WD"
"116",17,"MPLS","Materials","DOWNSIDE: OTHERS CAN ACCESS MY MATERIALS AND PUBLISH PAPERS FAST ON IT THAN MYSELF","Fear of scooping","WD"
"1201",18,"MPLS","OA","LOSS OF JOURNAL INCOME?","Loss of journal income","WD"
"1271",19,"MPLS","OA","A PURE SYSTEM OF OPEN ACCESS PUBLICATIONS MAY REDUCE THE QUALITY OF PEER REVIEW IN JOURNALS, WHICH COULD WEAKEN THE FIELD. ANY ADOPTION OF THIS WOULD HAVE TO COME DIRECTLY FROM FUNDING AGENCIES. ","Lowers quality","WD"
"138",20,"MPLS","Preprint","PREPRINT WORK IS NOT YET PEER-REVIEWED, THOUGH THOSE WHO READ IT MAY VIEW IT AS COMPLETED. WORK SHOULD BE FULLY PEER-REVIEWED BEFORE PRESENTED TO THE PUBLIC, EXCEPT UNDER EXCEPTIONAL CIRCUMSTANCES.","Misleading due to lack of peer review","WD"
"145",21,"MPLS","Preprint","PRELIMINARY, NON-PEER-REVIEWED RESULTS MAY TURN OUT TO BE INACCURATE, BUT IF ALREADY PUBLISHED AS PRE-PRINT BE TAKEN AS ""QUASI-PUBLISHED"" AND BE RELIED UPON FOR FURTHER RESEARCH, WHICH COULD REDUCE RELIABILITY OF RESEARCH. CAREFUL STUDY OF PREPRINTS IS NECESSARY.","Misleading due to lack of peer review","WD"
"151",22,"MPLS","Materials","PHYSICAL MATERIALS MAY BE RADIOACTIVE AND CAUSE A HEALTH HAZARD IF STORED INCORRECTLY, SAFETY SHOULD BE PRIORITISED OVER OPEN ACCESS","Ethical, safety, or security concerns","WD"
"159",23,"MPLS","Preprint","I WOULD WORRY IF A PAPER HADN'T BEEN THROUGH PEER REVIEW THAT IT'S CONCLUSIONS WERE NOT AS ROBUST AS THOSE IN PAPERS THAT HAD","Misleading due to lack of peer review","WD"
"166",24,"MPLS","Preprint","PUBLICATION OF PRE-PRINTS CAN LEAD TO UN-PEER REVIEWED RESEARCH BEING WIDELY SHARED BEFORE IT IS SHOWN TO HAVE ISSUES OR BE MISLEADING. HOWEVER, PRE-PRINTS ARE STILL IMPORTANT AS THEY SPEED UP THE PROCESS OF SHARING NEW RESEARCH.","Misleading due to lack of peer review","WD"
"167",24,"MPLS","Prereg","PUBLIC DISCUSSION OF RESEARCH APPROACHES PRIOR TO CONDUCTING RESEARCH MAY LEAD TO POACHING BY NON-COLLABORATORS. ALTHOUGH IT IS CERTAINLY BENEFICIAL TO GAIN INSIGHT INTO METHODOLOGY FROM OTHERS BEFORE COMMENCING RESEARCH, A PUBLISHED ARTICLE RATHER THAN DISCUSSION WITH DIRECT COLLABORATORS COULD MEAN OTHERS TAKE YOUR INITIAL HARD WORK AND RUN WITH IT TO PUBLISH BEFORE YOU. ","Fear of scooping","WD"
"168",24,"MPLS","RegRep","PUBLIC DISCUSSION OF RESEARCH APPROACHES PRIOR TO CONDUCTING RESEARCH MAY LEAD TO POACHING BY NON-COLLABORATORS.","Fear of scooping","WD"
"175",25,"MPLS","RegRep","I THINK IT SLOWS THE RESEARCH DOWN, AS WELL AS PREVENTS YOU FROM UPDATING PROTOCOLS BASED ON NEW INSIGHTS. ","Time investment","WD"
"178",26,"MPLS","Code","-","Not categorised","WD"
"177",26,"MPLS","Data","-","Not categorised","WD"
"179",26,"MPLS","Materials","-","Not categorised","WD"
"1761",26,"MPLS","OA","-","Not categorised","WD"
"180",26,"MPLS","Preprint","-","Not categorised","WD"
"181",26,"MPLS","Prereg","-","Not categorised","WD"
"185",27,"MPLS","Code","POTENTIAL FOR PLAGIARISM","Intellectual property concerns","WD"
"184",27,"MPLS","Data","POTENTIAL DATA PROTECTION ISSUES AND LICENCE AGREEMENT RESTRICTIONS","Ethical, safety, or security concerns","WD"
"195",28,"MSD","Prereg","USING UP MORE TIME THAT COULD BE SPEND ON EXPERIMENTS","Time investment","WD"
"196",28,"MSD","RegRep","USING UP MORE TIME THAT COULD BE SPEND ON EXPERIMENTS","Time investment","WD"
"199",29,"MPLS","Code","INCREASES 'FIRST TO PUBLISH' PRESSURE IF RELEASED EARLY. CAN CONSEQUENTLY AFFECT THE QUALITY OF WORK.","Lowers quality","WD"
"198",29,"MPLS","Data","INCREASES 'FIRST TO PUBLISH' PRESSURE IF RELEASED EARLY. CAN CONSEQUENTLY AFFECT THE QUALITY OF WORK.","Lowers quality","WD"
"200",29,"MPLS","Materials","INCREASES 'FIRST TO PUBLISH' PRESSURE IF RELEASED EARLY. CAN CONSEQUENTLY AFFECT THE QUALITY OF WORK.","Lowers quality","WD"
"201",29,"MPLS","Preprint","MAY PREVENT PUBLICATION IN CERTAIN JOURNALS.","Prevents or complicates formal publishing","WD"
"206",30,"MPLS","Code","IP AND COMPETITIVE ADVANTAGE THAT MIGHT BE CREATED WITH RESEARCH MIGHT BE UNDER THREAD. PATENTING REQUIRED ETC.","Intellectual property concerns","WD"
"205",30,"MPLS","Data","IP AND COMPETITIVE ADVANTAGE THAT MIGHT BE CREATED WITH RESEARCH MIGHT BE UNDER THREAD. PATENTING REQUIRED ETC.","Intellectual property concerns","WD"
"207",30,"MPLS","Materials","IP AND COMPETITIVE ADVANTAGE THAT MIGHT BE CREATED WITH RESEARCH MIGHT BE UNDER THREAD. PATENTING REQUIRED ETC.","Intellectual property concerns","WD"
"2041",30,"MPLS","OA","IP AND COMPETITIVE ADVANTAGE THAT MIGHT BE CREATED WITH RESEARCH MIGHT BE UNDER THREAD. PATENTING REQUIRED ETC.","Intellectual property concerns","WD"
"212",31,"MSD","Data","SECURITY OF SENSITIVE DATA ","Ethical, safety, or security concerns","WD"
"215",31,"MSD","Preprint","RESULTS ARE NOT PEER-REVIEWED AND MAY BE UNRELIABLE, RESULTS CAN GET SCOOPED IN THE PROCESS OF PUBLICATION ","Misleading due to lack of peer review","WD"
"223",32,"MPLS","Prereg","THEORETICAL/MATHEMATICAL RESEARCH HAS LITTLE TO NO EXPERIMENTATION, SO THE USUAL BIASES AREN'T PRESENT, AND PREREGISTRATION WOULD FORCE RESEARCHERS TO PURSUE AVENUES THAT MAY NOT BE FRUITFUL.","Not relevant for all fields","WD"
"229",33,"MPLS","Preprint","PREPRINT HAVE BENEFITS, BUT I SOMETIMES WORRY IF EVERYONE WHO HAS ACCESS TO THESE PRE-PRINTS (ALSO NON-SCIENTISTS) DO REALISE THAT THE WORK HASN'T BEEN PEER-REVIEWED YET AND MAY THUS NOT LIVE UP TO ACADEMIC STANDARDS.","Misleading due to lack of peer review","WD"
"233",34,"MPLS","Data","COULD LEAD TO WORK BEING USED AND PUBLISHED WITHOUT PROPER CREDIT GIVEN.","Intellectual property concerns","WD"
"240",35,"MSD","Data","ETHICS COMMENT AS IN PREVIOUS QUESTION - BUT IN GENERAL, IT WOULD BE A GOOD THING OUTSIDE OF COMPLICATIONS OF ANONYMITY AND ETHICAL APPROVAL FOR OTHERS TO ACCESS","Ethical, safety, or security concerns","WD"
"248",36,"HUM","Code","CONCERNS ABOUT DUPLICATION OF RESEARCH","Intellectual property concerns","WD"
"2471",36,"HUM","Data","CONCERNS ABOUT DUPLICATION OF RESEARCH","Intellectual property concerns","WD"
"249",36,"HUM","Materials","CONCERNS ABOUT DUPLICATION OF RESEARCH","Intellectual property concerns","WD"
"2461",36,"HUM","OA","CONCERNS ABOUT DUPLICATION OF RESEARCH","Intellectual property concerns","WD"
"2531",37,"CONTED","OA","THE FUNDING TO PRODUCE THE JOURNALS WHERE PUBLICATION TAKES PLACE COULD DRY UP, AS THERE WILL BE NO FINANCIAL INCENTIVE FOR LARGE CORPORATIONS TO PRODUCE THEM","Financial cost","WD"
"261",38,"HUM","Data","LIKE OPEN ACCESS PUBLICATION, CONCERNS ARE MAINLY ASSOCIATED WITH LACK OF APPROVAL OR PAYMENT TO THE ORIGINAL OWNER OF THE MATERIAL","Not categorised","WD"
"2601",38,"HUM","OA","LACK OF APPROVAL FROM OR PAYMENT TO THE AUTHOR OR CREATOR OF THE MATERIAL BEING PUBLISHED","Intellectual property concerns","WD"
"271",39,"MPLS","Preprint","PRE-PRINTS MAY BE USED TO CLAIM AN IDEA, EVEN WHEN THE EXECUTION COULD BE FULL OF ERRORS","Misleading due to lack of peer review","WD"
"278",40,"SSD","Preprint","LACK PF PEER REVIEW IN SCIENCES CAN LEAD TO JUMPING THE GUN RE: PRE PRINTS","Misleading due to lack of peer review","WD"
"282",41,"HUM","Data","THERE MIGHT BE DIFFICULTY WITH NAVIGATING COPYRIGHT.","Intellectual property concerns","WD"
"284",41,"HUM","Materials","THERE MIGHT BE DIFFICULTY WITH NAVIGATING COPYRIGHT.","Intellectual property concerns","WD"
"289",42,"MSD","Data","MOSTLY RELATING TO DATA SECURITY ESPECIALLY FOR PRIMARY DATA","Ethical, safety, or security concerns","WD"
"292",42,"MSD","Preprint","PRE-PRINTS ARE SOMETIMES CONSIDERED AS VALID PEER-REVIEWED RESEARCH, AND THE POLICY IMPLICATION MIGHT BE HUGE (AS SEEN IN COVID)","Misleading due to lack of peer review","WD"
"2961",43,"MSD","Data","CONCERN ABOUT BEING PIPPED TO RESEARCH FINDINGS, PUBLICATIONS AND THEREFORE CAREER PROSPECTS SUFFERING.","Fear of scooping","WD"
"298",43,"MSD","Materials","CONCERN ABOUT BEING PIPPED TO RESEARCH FINDINGS, PUBLICATIONS AND THEREFORE CAREER PROSPECTS SUFFERING.","Fear of scooping","WD"
"3021",44,"MSD","OA","COST TO PUBLISH ","Financial cost","WD"
"311",45,"MSD","Code","THE DEVELOPER OF SUCH A CODE MIGHT NOT BE ACKNOWLEDGED BY OTHERS WHO USE THE CODE.","Intellectual property concerns","WD"
"317",46,"MSD","Data","INCREASED WORKLOAD FOR RESEARCH STUDENTS/STAFF, CONTINUITY OF OWNERSHIP (PEOPLE LEAVING LABS ETC) ","Time investment","WD"
"778",46,"MSD","Data","INCREASED WORKLOAD FOR RESEARCH STUDENTS/STAFF, CONTINUITY OF OWNERSHIP (PEOPLE LEAVING LABS ETC) ","Challenges around continuity of ownership (e.g. for longitudinal dataset)","WD"
"319",46,"MSD","Materials","INCREASED WORKLOAD FOR RESEARCH STUDENTS/STAFF, CONTINUITY OF OWNERSHIP (PEOPLE LEAVING LABS ETC) ","Time investment","WD"
"320",46,"MSD","Preprint","POOR QUALITY RESEARCH ON PREPRINT SYSTEMS - BAD FOR MEDIA COVERAGE ETC ","Misleading due to lack of peer review","WD"
